Username,Robot Name,Time,Transaction ID,Quantity,Filled price,Type
juliaxy0,robot1,2024-01-09 01:44:02.777,fba136d8-d3d1-4cc5-9ad9-191395e537a4,0.03,45418,Buy
juliaxy0,robot1,2024-01-09 01:46:01.656,fcade657-319c-4d4f-8f2f-904d0852d418,0.03,45418,Buy
juliaxy0,robot1,2024-01-09 01:47:02.913,9b6832f4-f6ca-4e25-8241-7c1460e4245f,0.03,45419,Buy
juliaxy0,robot1,2024-01-09 02:01:01.308,90074e16-6a8c-4485-8fc4-46c32c50f936,0.03,45870.42,Buy
juliaxy0,robot1,2024-01-09 02:03:01.868,4b0d20f5-276b-455e-906b-02d5af53a81e,0.03,45956.43973356,Buy
juliaxy0,robot1,2024-01-09 02:04:01.524,d40d524f-9811-4881-a1a7-8dd96e287fb2,0.03,45998.376,Buy
juliaxy0,robot1,2024-01-09 02:05:03.676,8cd75b9c-2750-4be0-9688-f19279de1745,0.03,46000,Buy
juliaxy0,robot1,2024-01-09 02:07:03.198,39ed04d2-f3ae-451b-aae4-16c1575fba60,0.03,46032.05829294,Buy
juliaxy0,robot1,2024-01-09 02:08:02.518,c119e6a4-7673-4ca4-8941-4d4e13136842,0.03,46050.411,Buy
juliaxy0,robot1,2024-01-09 14:03:01.875,a975adae-0026-44fc-bbae-ab65f2d821f7,0.03,46748,Buy
juliaxy0,robot1,2024-01-09 14:04:03.329,7bde443c-92b3-4e01-a4bf-837fd72b7932,0.03,46848.3,Buy
juliaxy0,robot1,2024-01-09 14:05:02.580,5227771c-b63f-4963-add0-88ae4b5cf535,0.03,46737,Buy
juliaxy0,robot1,2024-01-09 14:06:03.028,cc975fc7-7ed9-49c6-8fd4-ce1f69b754e7,0.03,46737,Buy
juliaxy0,robot1,2024-01-09 14:09:02.648,654954f9-d482-4263-814c-a91b1d43fb5c,0.03,46722,Buy
juliaxy0,robot1,2024-01-09 14:11:02.626,130cdb32-1cdd-4cd0-abfd-79b8837b8e69,0.03,46906.79,Buy
juliaxy0,robot1,2024-01-09 14:13:04.219,3d54481c-f387-4161-b12c-1fede0d350a5,0.03,46935.8,Buy
juliaxy0,robot1,2024-01-09 14:17:03.020,98697355-4ab0-4829-b5e9-14557b6ef837,0.03,46928.4,Buy
juliaxy0,robot1,2024-01-09 14:18:04.297,795c2ecf-b025-4128-8ece-402b5d966980,0.03,46942.322,Buy
juliaxy0,robot1,2024-01-09 14:20:02.530,3a4ade5c-8d4f-4765-9347-228784596d45,0.03,46912.44,Buy
juliaxy0,robot1,2024-01-09 14:21:02.042,e9931102-9bd7-45df-9ef4-37dc5b318811,0.03,46960.14,Buy
juliaxy0,robot1,2024-01-09 14:22:02.284,e60a74f4-7b98-4a4c-af50-128e13517924,0.03,46943.645,Buy
juliaxy0,robot1,2024-01-09 14:23:03.023,4b2040f0-ebac-4ab2-8cce-361251cff9ee,0.03,46937.53,Buy
juliaxy0,robot1,2024-01-09 14:23:03.031,faa6d9f4-150a-4296-9084-227325948aca,0.03,46937.53,Buy
juliaxy0,robot1,2024-01-09 14:27:02.925,80d7400b-116f-4a98-953f-b146ff3f258f,0.03,46848,Buy
juliaxy0,robot1,2024-01-09 14:30:03.464,66f287de-2583-4cf5-b0b4-09e4359d8b59,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:31:03.242,fb2b4856-9b12-478c-8318-b9aa93a1f856,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:33:02.140,c205fb25-d297-4405-8236-80b4b8d22cf9,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:36:02.412,a0461757-86d1-4cc9-90b2-02f4f2ff570c,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:38:02.934,ad69de47-354e-457f-9601-2b210d5898df,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:40:01.929,b2c938e3-bd65-4b3b-8454-76f346bbd70d,0.03,46798,Buy
juliaxy0,robot1,2024-01-09 14:41:02.333,ef8eea8f-a819-420c-bad4-cf3d82e4348a,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:43:01.672,c13e5963-ba9b-45c8-9e46-cc667b634ac4,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:44:03.218,af050df0-065c-4aa7-9daa-438412df30da,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:45:03.046,b33fcb2c-a2f3-4526-ae86-72bf9eb3046e,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:46:04.347,a0fe0309-7aa6-4235-92a1-dec6a30219b9,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:47:02.730,1854732e-e81f-4d26-9d79-a70b143509d5,0.03,46759,Buy
juliaxy0,robot1,2024-01-09 14:48:31.926,69dd6e56-8243-4534-b8ca-cbcb8ee27d5d,0.03,46729,Buy
juliaxy0,robot1,2024-01-09 14:53:04.274,5d5e61c8-806d-4958-8a31-d75202de6874,0.03,46799.49,Buy
juliaxy0,robot1,2024-01-09 14:54:05.158,70026f91-f0e9-4c95-a364-fb40559264f0,0.03,46799.49,Buy
juliaxy0,robot1,2024-01-09 14:57:03.354,a9ed286a-a131-4dbb-8885-2932c8dbe4f5,0.03,46799.49,Buy
juliaxy0,robot1,2024-01-09 15:00:02.798,9f477a84-4716-4749-b368-815c5991c599,0.03,46799.49,Buy
juliaxy0,robot1,2024-01-09 15:04:02.040,84455809-f30d-4849-a567-8025fcf3bf96,0.03,46863.6,Buy
juliaxy0,robot1,2024-01-09 15:05:02.448,cc029599-aa01-4ad2-9cf3-785a67eaa549,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:06:01.897,827d5ce2-150a-44d9-8701-bd6a3bd35b8e,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:07:04.070,ce997b1f-49cb-4936-bc53-accbdf1ea7ff,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:09:02.966,ca70a579-e2db-459d-b1a3-bffef3d1983c,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:11:03.027,16b29616-15c0-461f-98a8-d3b874af046c,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:12:02.886,25ca0438-510c-4203-9f2c-ddf6b573f4c8,0.03,46767,Buy
juliaxy0,robot1,2024-01-09 15:13:03.370,ffe6b9cc-9afc-46a0-bd7e-4d4c5d621775,0.03,46790,Buy
juliaxy0,robot1,2024-01-09 15:14:03.250,da52994e-9e25-461f-a4c2-ccc31d0c549a,0.03,46790,Buy
juliaxy0,robot1,2024-01-09 15:15:03.729,d7b5f690-0737-4bc3-83a1-32627de76064,0.03,46790,Buy
juliaxy0,robot1,2024-01-09 15:18:01.924,9e77be6f-0f5e-48bc-8b6e-657f5ded7cd9,0.03,46790,Buy
juliaxy0,robot1,2024-01-09 15:19:03.774,35a5784d-b021-4360-b2c2-814901ac8915,0.03,46883,Buy
juliaxy0,robot1,2024-01-09 15:23:02.526,de0c7305-2a11-439e-9af3-6e6bb7cd940e,0.03,46902,Buy
juliaxy0,robot1,2024-01-09 15:24:03.624,c25683fc-b3b3-44ab-b770-4012f4bcca3c,0.03,46902,Buy
juliaxy0,robot1,2024-01-09 15:31:02.614,e30ced30-88ae-4e7b-8806-aab6d346c95b,0.03,46924,Buy
juliaxy0,robot1,2024-01-09 15:32:02.073,1df77d22-f823-408c-a2e9-ce8fdaa444da,0.03,46909,Buy
juliaxy0,robot1,2024-01-09 15:34:03.505,c9042d0e-8889-4a25-8c2d-ec4a4fb9e20e,0.03,46909,Buy
juliaxy0,robot1,2024-01-09 15:35:02.501,41874f7b-5709-48f3-86a1-c8e4d37f5f05,0.03,46909,Buy
juliaxy0,robot1,2024-01-09 15:36:05.378,2907db51-eea4-4a84-bcad-26293a78fe47,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:37:02.247,baa115dc-440c-4d31-aefe-02f807b984c3,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:38:06.707,fb41c0d8-0843-4c8c-a61a-faad5fdfddf9,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:41:03.080,1b69a228-53da-4684-be2c-f4acecb45ede,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:42:03.615,dcb56ea0-a7ab-4e03-9128-a88160c5939b,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:43:03.802,8cdc5034-ce34-4943-b40d-b1213a7f9085,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:44:02.950,a99acce0-5bcc-4e5d-9ec2-6a1d601602e4,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:45:02.999,4aaeb785-f7f8-4db3-b254-7c260e4919ef,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:46:02.530,a68245fd-b69d-4515-8cdf-15b79a8d2ca9,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:48:02.557,7059f6fa-6404-4457-8a9e-7e7cf2708b4f,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:49:03.165,932fe713-2328-4399-b179-266c7130349f,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:50:02.278,d5a4e147-77db-4c26-abd7-5d784882fe5a,0.03,46890,Buy
juliaxy0,robot1,2024-01-09 15:54:03.197,d0c4889d-2252-437d-9aa8-7b2d791c3d4f,0.03,46899,Buy
juliaxy0,robot1,2024-01-09 15:57:02.586,d6920ebc-5764-4f7b-ac60-321d66f04538,0.03,46899,Buy
juliaxy0,robot1,2024-01-09 15:59:02.865,b493be49-6599-4381-8aee-0ccad2a372d4,0.03,46866,Buy
juliaxy0,robot1,2024-01-09 16:04:03.498,f78dc089-5959-48b7-b86f-5ba4fba43d45,0.03,46866,Buy
juliaxy0,robot1,2024-01-09 16:06:01.883,31cf42ec-0900-49bd-800f-ad770693bcb8,0.03,46842.445,Buy
juliaxy0,robot1,2024-01-09 16:09:03.280,eb6ad1d2-fdfe-4f65-b1b0-16461b7f7dea,0.03,46847.8,Buy
juliaxy0,robot1,2024-01-09 16:11:03.761,d2e2ffbe-f0f4-4a6f-ab90-ca89edaaafe9,0.03,46848.91,Buy
juliaxy0,robot1,2024-01-09 16:12:03.950,11f8fdb0-3ce3-4fa8-8bef-2430a72fa891,0.03,46861.51,Buy
juliaxy0,robot1,2024-01-09 16:13:02.853,f7c891b0-ca0e-4dc5-8a09-ad89d75c6990,0.03,46866,Buy
juliaxy0,robot1,2024-01-09 16:16:03.597,da8e3927-5dd4-4e64-92e2-e19efcccd807,0.03,46793,Buy
juliaxy0,robot1,2024-01-09 16:18:03.206,cb570ddd-458d-4172-9207-ffeb9a47a0fc,0.03,46793,Buy
juliaxy0,robot1,2024-01-09 16:19:02.377,352a226f-1bae-4a1d-9210-59ced289880b,0.03,46793,Buy
juliaxy0,robot1,2024-01-09 16:21:03.764,b727c1e3-e307-4487-b899-90dd5679853f,0.03,46813,Buy
juliaxy0,robot1,2024-01-09 16:22:01.805,eb658291-f8c1-4eb5-9555-250d32c9e47c,0.03,46813,Buy
juliaxy0,robot1,2024-01-09 16:23:03.751,46da8d1d-b21d-4170-aa13-c302625d8e6a,0.03,46813,Buy
juliaxy0,robot1,2024-01-09 16:24:03.403,524f1c97-91d6-4b46-b4c1-2959b3ecbab5,0.03,46885,Buy
juliaxy0,robot1,2024-01-09 16:25:03.401,99ea13e9-8eda-43b9-a55e-187d99021540,0.03,46885,Buy
juliaxy0,robot1,2024-01-09 16:26:02.945,9580155d-b1bc-4460-8ab1-58823dc9f59c,0.03,46885,Buy
juliaxy0,robot1,2024-01-09 16:27:02.777,4ccffc3d-98c0-461f-b531-8260b3239521,0.03,46885,Buy
juliaxy0,robot1,2024-01-09 16:29:03.103,ffabc28c-9288-46f4-8c25-99a62d537145,0.03,46853,Buy
juliaxy0,robot1,2024-01-09 16:30:01.904,fdc85f02-3b19-4503-8d3a-0746a79c81cc,0.03,46853,Buy
